date,close,volume,open,high,low
9/29/16,200.7,2714040,205.6,207.33,200.58
9/28/16,206.27,2079324,207.51,208.25,205.26
9/27/16,205.81,3367907,209.65,209.9818,204.6093
9/26/16,208.99,2393373,206.5,211,206.5
9/23/16,207.45,2904125,205.99,210.18,205.67
9/22/16,206.43,2381600,206.4,207.28,203
9/21/16,205.22,2631285,206.37,207,201.56
9/20/16,204.64,2408556,206.85,207.75,203.91
9/19/16,206.34,2298318,207,209.43,205
9/16/16,205.4,3104266,200.42,205.7,199
9/15/16,200.42,3082942,196.49,202.5193,196.4
9/14/16,196.41,2256143,195.75,197.9248,194.8562
9/13/16,196.05,3583140,197.06,198.49,193.45
9/12/16,198.3,3714049,195,201.369,194.1
9/9/16,194.47,3753734,199.09,199.92,193.7
9/8/16,197.36,3372293,199.55,199.89,196.36
9/7/16,201.71,3637918,205.5,206.4968,200.71
9/6/16,202.83,4386193,199.02,203.25,199
9/2/16,197.78,5970154,202.33,203.2,196.2
9/1/16,200.77,7932444,209.01,211.0999,200.5
8/31/16,212.01,3274854,210.43,212.6,208.65
8/30/16,211.34,3164222,216.11,216.11,210.52
8/29/16,215.2,3261381,220.15,220.4,215
8/26/16,219.99,2238087,222.14,222.855,218.82
8/25/16,220.96,1760212,223.11,223.8,220.77
8/24/16,222.62,2566947,227.05,227.15,222.22
8/23/16,224.84,4747745,224.32,228.49,222.8
8/22/16,222.93,2061692,224.17,225.11,222.68
8/19/16,225,1658616,223.54,225.169,222.53
8/18/16,223.51,1699300,223.82,225.66,222.29
8/17/16,223.24,1786408,224.33,224.83,222.8
8/16/16,223.61,2251115,225.49,227.19,223.4101
8/15/16,225.59,2017964,226.02,229.5,224.93
8/12/16,225.61,1811850,225.41,226.65,224.04
8/11/16,224.91,1876959,226.17,227.57,223.41
8/10/16,225.65,2336496,228.24,229.87,224.62
8/9/16,229.08,2199766,226.82,231.5375,226.65
8/8/16,226.16,2259465,228,229.6,226.09
8/5/16,230.03,3190342,230,232,227.4
8/4/16,230.61,4142155,225.69,230.86,222.05
8/3/16,225.79,3808747,227.37,229.699,224.21
8/2/16,227.2,3928706,229.37,229.87,221.4
8/1/16,230.01,4014048,235.5,236.63,229.38
7/29/16,234.79,3061574,230.7,235.28,230.24
7/28/16,230.61,2415462,227.95,230.76,226.6
7/27/16,228.49,2887028,229.34,233.36,226.92
7/26/16,229.51,3427251,227.69,230,225.3
7/25/16,230.01,4479483,222.27,231.39,221.3715
7/22/16,222.27,2570462,221.99,224.5,218.88
7/21/16,220.5,4425756,226,227.847,219.1
7/20/16,228.36,2556119,226.47,229.8,225
7/19/16,225.26,3047535,225,229.1,224.75
7/18/16,226.25,3394588,219.64,227.09,218.3
7/15/16,220.4,2230821,222.52,222.7499,219.64
7/14/16,221.53,2657899,223.12,224.94,221.05
7/13/16,222.53,3540699,225.5,225.59,220.29
7/12/16,224.65,4573875,224.1,227.5,223.22
7/11/16,224.78,5369066,219.96,226.78,219.51
7/8/16,216.78,4067131,217.8,219.81,214.5
7/7/16,215.94,3603385,213.1,218.12,213.01
7/6/16,214.44,4910285,210,215.23,209
7/5/16,213.98,5169832,209.73,214.5441,208
7/1/16,216.5,5396030,206.14,218.24,206
6/30/16,212.28,4794440,212.97,213.4999,209.02
6/29/16,210.19,5987120,205.13,211.78,203
6/28/16,201.79,6158996,201.89,204.05,199.41
6/27/16,198.55,7211823,190.86,198.81,187.87
6/24/16,193.15,6988949,190.05,195.12,189.73
6/23/16,196.4,10098190,195.69,197.55,192.13
6/22/16,196.66,23706100,199.47,205.95,195.75
6/21/16,219.61,2855619,220.68,222.569,218.81
6/20/16,219.7,3549768,219.5,223.75,218.23
6/17/16,215.47,3107734,217.81,219.99,214.5
6/16/16,217.93,2438692,217.42,218.04,213.5
6/15/16,217.7,2905002,216.95,221.9,215.13
6/14/16,214.96,3575822,218.88,222.2,212.53
6/13/16,217.87,4187833,219.5,225.77,217.66
6/10/16,218.79,5994548,227.39,227.97,218.4217
6/9/16,229.36,4454222,234.98,235.33,227.06
6/8/16,235.52,5965110,233.8,240.845,232.605
6/7/16,232.34,6194154,222.24,234.44,221.52
6/6/16,220.68,2242634,218,220.9,215.45
6/3/16,218.99,2226110,220,221.94,218.01
6/2/16,218.96,2017279,219.59,219.909,217.11
6/1/16,219.56,2982270,221.48,222.4,216.89
5/31/16,223.23,2786682,223.04,224.7497,221.5001
5/27/16,223.04,3645792,224.99,225.93,220.75
5/26/16,225.12,4066512,220.5,225.26,219.05
5/25/16,219.58,3131279,217.91,221.36,216.51
5/24/16,217.91,3009327,216.6,218.74,215.18
5/23/16,216.22,5096751,219.87,222.6,215.86
5/20/16,220.28,8996546,216.99,220.55,216.35
5/19/16,215.21,6817922,213.62,216.79,207.3
5/18/16,211.17,5552692,209.15,215.31,207.75
5/17/16,204.66,2842028,209.05,209.8199,204.02
5/16/16,208.29,2945754,208.15,213.15,207.92
5/13/16,207.61,2820616,207.78,211.2,206.7
5/12/16,207.28,3650075,211.44,211.67,203.6572
5/11/16,208.96,5159640,207.59,215.48,206.05
5/10/16,208.69,4068053,207.55,209.47,205
5/9/16,208.92,4772992,215.72,216.15,206.8
5/6/16,214.93,5683675,210.87,216.37,208.11
5/5/16,211.53,11248340,228.46,228.64,209.79
5/4/16,222.56,8550004,230.29,234.46,220.4
5/3/16,232.32,4296325,237.36,238.91,231.62
5/2/16,241.8,3838958,241.5,243.19,234.82
4/29/16,240.76,5405164,248.14,248.43,237.81
4/28/16,247.71,2515595,249.85,253.43,247.44
4/27/16,251.47,3198105,252.75,255,249.4
